Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9818598963782823,105
Enterococcus_faecalis,0.0,0
Escherichia_coli_plasmid,0.0,0
Escherichia_coli,0.0018092790709093862,7
Lactobacillus_fermentum,0.0007158853596720364,1
Listeria_monocytogenes,0.9894209953274058,27
Pseudomonas_aeruginosa,0.9913387600425775,68
Salmonella_enterica,0.005495881502920534,23
Staphylococcus_aureus,0.0,0
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
