,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.703087270684239,1467
1,Enterococcus_faecalis,0.07894483431456896,180
2,Escherichia_coli_plasmid,0.932540656503677,21
3,Escherichia_coli,0.6489226374764607,1495
4,Lactobacillus_fermentum,0.0,0
5,Listeria_monocytogenes,0.1543256085033061,359
6,Pseudomonas_aeruginosa,0.9423134623906672,1142
7,Salmonella_enterica,0.6508847320844432,1479
8,Staphylococcus_aureus,0.04822677818727517,109
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
