Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9828696161359397,35
Enterococcus_faecalis,0.9891754809179192,61
Escherichia_coli_plasmid,0.9932277036915833,4
Escherichia_coli,0.9716915605168386,142
Lactobacillus_fermentum,0.9358778754160034,97
Listeria_monocytogenes,0.9758887854396322,34
Pseudomonas_aeruginosa,0.9890982917496647,79
Salmonella_enterica,0.9772796699655822,112
Staphylococcus_aureus,0.9831435423241307,49
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.884927797833935,1
Staphylococcus_aureus_plasmid3,0.0,0
