Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9831706782325925,28
Enterococcus_faecalis,0.9768994922316503,44
Escherichia_coli_plasmid,0.9847555155581008,3
Escherichia_coli,0.9677305361904078,228
Lactobacillus_fermentum,0.9406360987816828,88
Listeria_monocytogenes,0.9862485638339468,19
Pseudomonas_aeruginosa,0.9874824986418504,118
Salmonella_enterica,0.9753161198097545,207
Staphylococcus_aureus,0.9823064021362523,66
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.9544223826714802,1
Staphylococcus_aureus_plasmid3,1.0,1
