Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9771432568640551,116
Enterococcus_faecalis,0.9733713316126565,166
Escherichia_coli_plasmid,0.9577572336305872,5
Escherichia_coli,0.792100362737161,1123
Lactobacillus_fermentum,0.9202973968329945,236
Listeria_monocytogenes,0.9633591347513085,126
Pseudomonas_aeruginosa,0.9594660447887544,521
Salmonella_enterica,0.8036884741328634,1083
Staphylococcus_aureus,0.9565179970427913,175
Staphylococcus_aureus_plasmid1,0.17705538898532427,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
