Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9771410322672819,117
Enterococcus_faecalis,0.9736303468906921,167
Escherichia_coli_plasmid,0.9553937476706028,5
Escherichia_coli,0.7915180443166352,1123
Lactobacillus_fermentum,0.9205508958276585,237
Listeria_monocytogenes,0.9633531193961118,127
Pseudomonas_aeruginosa,0.9594625113915255,522
Salmonella_enterica,0.8036159912734839,1083
Staphylococcus_aureus,0.9568777172113963,176
Staphylococcus_aureus_plasmid1,0.20356635632002526,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
