Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9815724290396886,26
Enterococcus_faecalis,0.9851113660261925,44
Escherichia_coli_plasmid,0.9975001590807858,1
Escherichia_coli,0.9585865631545836,188
Lactobacillus_fermentum,0.9321116046381394,86
Listeria_monocytogenes,0.9728603882844942,20
Pseudomonas_aeruginosa,0.9866609837861234,101
Salmonella_enterica,0.9687592573217142,171
Staphylococcus_aureus,0.977496524176285,67
Staphylococcus_aureus_plasmid1,0.9600757456209563,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
