Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9858357451670017,26
Enterococcus_faecalis,0.991852089272761,30
Escherichia_coli_plasmid,1.0,1
Escherichia_coli,0.9733207930274557,135
Lactobacillus_fermentum,0.9489443577579352,79
Listeria_monocytogenes,0.9772054798549097,18
Pseudomonas_aeruginosa,0.9910633022836052,83
Salmonella_enterica,0.981467498475759,110
Staphylococcus_aureus,0.9863644723000757,39
Staphylococcus_aureus_plasmid1,0.9998421966230078,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
