task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
1	ff/4b50fa	PROCESS_REFERENCE	-	COMPLETED	0	2021-10-15 12:20:26.890	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	24s	1.9s	-	92.2%	0.0%	41.7 MB	301.2 MB	37.3 MB	88.5 MB
14	86/db1589	reformat_IDBA	EMS	COMPLETED	0	2021-10-15 12:20:16.885	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	1m 4s	54s	-	195.8%	0.1%	156.2 MB	3.8 GB	1.9 GB	3.2 GB
4	be/24c88e	PROCESS_READS	ENN	COMPLETED	0	2021-10-15 12:20:31.923	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 14s	47.7s	-	95.9%	0.0%	53.5 MB	334.7 MB	376.2 MB	426 B
15	48/9289d1	reformat_IDBA	ENN	COMPLETED	0	2021-10-15 12:20:36.900	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	1m 19s	49.1s	-	173.9%	0.1%	155.8 MB	3.8 GB	740.8 MB	2.7 GB
16	db/16d085	reformat_IDBA	ERR2984773	COMPLETED	0	2021-10-15 12:20:36.894	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	1m 29s	1m 1s	-	180.7%	0.1%	157.9 MB	3.8 GB	1.8 GB	3.6 GB
2	06/89543a	PROCESS_READS	EMS	COMPLETED	0	2021-10-15 12:20:31.934	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 28s	1m 3s	-	94.4%	0.0%	53.6 MB	334.7 MB	921.2 MB	426 B
3	18/a0d1b3	PROCESS_READS	ERR2984773	COMPLETED	0	2021-10-15 12:20:31.937	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 38s	1m 12s	-	95.8%	0.0%	53.6 MB	334.7 MB	892.5 MB	454 B
22	79/a5f102	reformat_METAHIPMER2	ENN	COMPLETED	0	2021-10-15 12:20:41.917	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	1m 48s	1m 15s	-	124.8%	0.1%	188.1 MB	3.8 GB	740.8 MB	4.8 GB
21	ff/a3465d	reformat_METAHIPMER2	ERR2984773	COMPLETED	0	2021-10-15 12:20:36.929	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	1m 53s	1m 24s	-	147.6%	0.1%	191.8 MB	3 GB	1.8 GB	6.1 GB
20	df/23b776	reformat_METAHIPMER2	EMS	COMPLETED	0	2021-10-15 12:20:41.913	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	2m 13s	1m 38s	-	129.6%	0.1%	166.2 MB	3.8 GB	1.9 GB	5.6 GB
8	e5/202c0d	BCALM2	ENN	COMPLETED	0	2021-10-15 12:20:21.889	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	2m 44s	2m 24s	-	560.8%	2.0%	5.1 GB	8.1 GB	5.9 GB	3.4 GB
27	69/30ce39	MINIA	ENN	COMPLETED	0	2021-10-15 12:21:06.918	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	3m 43s	2m 44s	-	541.4%	2.0%	5.1 GB	8.1 GB	6.5 GB	3.5 GB
10	e8/030c91	BCALM2	EMS	COMPLETED	0	2021-10-15 12:20:36.914	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	4m 18s	3m 50s	-	460.0%	2.6%	6.7 GB	12.2 GB	8.5 GB	4.3 GB
26	c4/e6b75b	MINIA	EMS	COMPLETED	0	2021-10-15 12:21:01.922	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	4m 23s	3m 26s	-	551.6%	5.3%	6.6 GB	12.2 GB	9.1 GB	4.4 GB
9	ea/4a3b0f	BCALM2	ERR2984773	COMPLETED	0	2021-10-15 12:20:36.911	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	5m 59s	5m 27s	-	447.7%	1.9%	4.7 GB	12.1 GB	16.2 GB	6.8 GB
44	7b/86cf57	METAHIPMER2	ENN	FAILED	0	2021-10-15 12:24:32.002	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	8	1d	-	32 GB	4m 35s	1m 58s	-	242.0%	25.4%	32 GB	105.4 GB	4.9 GB	4.4 GB
28	b0/3f0064	MINIA	ERR2984773	COMPLETED	0	2021-10-15 12:21:06.922	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	7m 48s	6m 49s	-	566.0%	1.9%	4.8 GB	11.9 GB	17.3 GB	6.8 GB
47	64/6f6ae8	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-15 12:27:57.225	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	5m 10s	2.5s	-	58.5%	0.1%	79.8 MB	2.6 GB	34.8 MB	27.5 MB
48	92/e97dbb	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-15 12:27:57.230	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	4m 10s	2.6s	-	59.0%	0.1%	70.4 MB	2.6 GB	33.8 MB	27.5 MB
49	d0/c7000b	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-15 12:27:57.234	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	3m 35s	3.8s	-	64.5%	0.1%	92.6 MB	2.6 GB	57.3 MB	16.4 MB
50	8d/8cf079	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-15 12:27:57.237	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	3m 30s	1.4s	-	108.9%	0.1%	77.5 MB	2.6 GB	33.9 MB	27.5 MB
