,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9836615725872332,28
1,Enterococcus_faecalis,0.9894320360779815,46
2,Escherichia_coli_plasmid,0.8887343532684284,24
3,Escherichia_coli,0.9685354995998265,199
4,Lactobacillus_fermentum,0.9407095767511506,89
5,Listeria_monocytogenes,0.9743575433556726,19
6,Pseudomonas_aeruginosa,0.9870156485329776,166
7,Salmonella_enterica,0.9756106733426532,178
8,Staphylococcus_aureus,0.9823064021362523,65
9,Staphylococcus_aureus_plasmid1,0.9998421966230078,1
10,Staphylococcus_aureus_plasmid2,0.9995487364620939,1
11,Staphylococcus_aureus_plasmid3,0.9996658870698296,1
