,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.98284959476498,38
1,Enterococcus_faecalis,0.9760690266929829,55
2,Escherichia_coli_plasmid,0.96022071322734,11
3,Escherichia_coli,0.9438426804358218,449
4,Lactobacillus_fermentum,0.9384831942762761,89
5,Listeria_monocytogenes,0.9866372226169335,26
6,Pseudomonas_aeruginosa,0.9856602962459127,161
7,Salmonella_enterica,0.9562846420796404,397
8,Staphylococcus_aureus,0.9805177322181272,74
9,Staphylococcus_aureus_plasmid1,0.9998421966230078,1
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.9512195121951219,1
