,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9826357862973243,27
1,Enterococcus_faecalis,0.9879313641143295,46
2,Escherichia_coli_plasmid,0.9687019916914378,10
3,Escherichia_coli,0.9680373288141227,191
4,Lactobacillus_fermentum,0.9381640899517302,87
5,Listeria_monocytogenes,0.9739317898823062,24
6,Pseudomonas_aeruginosa,0.9890217348097045,101
7,Salmonella_enterica,0.9751091759938451,161
8,Staphylococcus_aureus,0.9809877959967338,69
9,Staphylococcus_aureus_plasmid1,0.9995265898690232,1
10,Staphylococcus_aureus_plasmid2,0.9986462093862816,1
11,Staphylococcus_aureus_plasmid3,0.9989976612094889,1
