,run,sample,assembler,reference,contiguity,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassemblies,distribution
0,run2,ENN,BCALM2,Bacillus_subtilis,0.0336843499864176,0.9768404645254676,1.0002791005321128,1.0,1.0002791005321128,1.0,1.0,65,115,65138,64934,3951981,0,0,Even
1,run2,ENN,GATBMiniaPipeline,Bacillus_subtilis,0.09783282254119645,0.9837260858936588,1.0,0.9999984924032198,1.0000015075990532,0.9997541789577188,0.9931170108161259,14,28,269695,269695,3979838,0,0,Even
2,run2,ENN,IDBA-UD,Bacillus_subtilis,0.07363884956708111,0.9829890028294399,1.000898448422573,1.000812884253127,1.0000854946721731,0.9990394800788059,0.9528619528619529,31,52,122683,122683,3976856,0,0,Even
3,run2,ENN,MEGAHIT,Bacillus_subtilis,0.13649458421915542,0.9863360322635741,1.00015562361339,1.001262925290217,0.9988940949985678,0.9999109497229236,0.9981998199819982,10,26,294549,315167,3990397,0,1,Even
4,run2,ENN,metaSPAdes,Bacillus_subtilis,0.2552934898164139,0.9855544572638893,1.0,1.0006703368298262,0.9993301122206242,0.998299054455113,0.9701492537313433,8,18,552896,552896,3987235,0,0,Even
5,run2,ENN,MINIA,Bacillus_subtilis,0.0336843499864176,0.9768466439609489,1.0002831473433997,1.0,1.0002831473433997,1.0,1.0,65,115,65143,64960,3952006,0,0,Even
6,run2,ENN,SKESA,Bacillus_subtilis,0.0977828927025069,0.9797297213791413,1.0,1.0,1.0,1.0,1.0,22,40,200700,200700,3963670,0,0,Even
7,run2,ENN,SPAdes,Bacillus_subtilis,0.19004779669756136,0.9835476237969566,1.0,1.0,1.0,0.9999895503989736,0.9998670884393525,11,21,294377,294377,3979116,0,0,Even
8,run2,ENN,Unicycler,Bacillus_subtilis,0.18989998460084678,0.9820586270233634,1.0,1.0,1.0,1.0,1.0,12,23,269495,269495,3973092,0,0,Even
9,run2,ENN,VelvetOptimizer,Bacillus_subtilis,0.060170399169286126,0.9773358080736549,1.0002642903298824,1.0,1.0002642903298824,1.0,1.0,59,108,69914,69010,3953985,0,0,Even
10,run2,ENN,BCALM2,Enterococcus_faecalis,0.045908612943313255,0.960462038271001,1.0007095050625876,1.0,1.0007095050625876,1.0,1.0,106,164,32803,30453,2732891,0,0,Even
11,run2,ENN,GATBMiniaPipeline,Enterococcus_faecalis,0.1558070030421116,0.9894141123613196,1.000613084850446,1.0,1.000613084850446,0.9999628884869615,0.9990458015267175,23,45,128464,128464,2815271,0,0,Even
12,run2,ENN,IDBA-UD,Enterococcus_faecalis,0.15580594870583736,0.9760054150711044,1.0006337505284255,1.000110128512056,1.000523564357006,1.0005617123384074,0.9596412556053812,29,60,93334,93334,2777118,0,1,Even
13,run2,ENN,MEGAHIT,Enterococcus_faecalis,0.20950224081602817,0.9790738850745345,1.000645045729327,1.0001112173056999,1.0005337690592706,0.9996899756705496,0.9932287102684617,13,32,224764,224764,2785849,0,1,Even
14,run2,ENN,metaSPAdes,Enterococcus_faecalis,0.3102321226741342,0.9780989754662978,1.0001185738796117,1.0000007185448891,1.0001178552500383,0.9980803097000597,0.9654591406908172,8,19,336380,336380,2783075,0,0,Even
15,run2,ENN,MINIA,Enterococcus_faecalis,0.045908612943313255,0.9736967700759684,1.000743174006307,1.0,1.000743174006307,0.9999934162881032,0.9989071038251366,102,166,32898,32803,2770549,0,0,Even
16,run2,ENN,SKESA,Enterococcus_faecalis,0.15564709537385357,0.9680121403307523,1.0,0.9960989613263025,1.0039163163753362,0.9959694354145648,0.7783189478010687,34,55,77858,68552,2754374,0,1,Even
17,run2,ENN,SPAdes,Enterococcus_faecalis,0.26490234034537247,0.9760981966632366,1.000079211286024,1.0,1.000079211286024,0.9999001170723444,0.9990458015267175,9,18,336624,336624,2777382,0,0,Even
18,run2,ENN,Unicycler,Enterococcus_faecalis,0.31019346367741246,0.9885678317785388,1.0,0.9999985779633378,1.0000014220386844,0.9999059630533765,0.9990458015267175,8,19,336270,336270,2812863,0,0,Even
19,run2,ENN,VelvetOptimizer,Enterococcus_faecalis,0.045908612943313255,0.9742077717235446,1.0006432171970954,1.0,1.0006432171970954,0.9999875027598072,0.9980379332897319,95,157,32898,32803,2772003,0,0,Even
20,run2,ENN,BCALM2,Escherichia_coli_plasmid,0.3306244148099666,0.9553937476706028,1.0002854424357754,1.0,1.0002854424357754,1.0,1.0,3,5,26838,26838,105100,0,0,Even
21,run2,ENN,GATBMiniaPipeline,Escherichia_coli_plasmid,0.48301471724526623,0.9811557446344323,1.0,1.0,1.0,1.0,1.0,2,3,28271,28271,107934,0,0,Even
22,run2,ENN,IDBA-UD,Escherichia_coli_plasmid,0.4829419946003436,0.9846646122519476,1.0009139586410636,1.0,1.0009139586410636,1.0,1.0,2,3,28766,28766,108320,0,0,Even
23,run2,ENN,MEGAHIT,Escherichia_coli_plasmid,1.0002545292572291,1.0,1.0002545292572291,1.0,1.0002545292572291,1.0,1.0,0,1,110035,110035,110007,0,0,Even
24,run2,ENN,metaSPAdes,Escherichia_coli_plasmid,1.000499968183843,1.0,1.000499968183843,0.9999909142945403,1.0005090585144583,0.9999909142945403,0.9999909142945403,0,1,110063,110063,110007,0,0,Even
25,run2,ENN,MINIA,Escherichia_coli_plasmid,0.3306244148099666,0.9657567245720727,1.0002823795180722,1.0,1.0002823795180722,1.0,1.0,3,6,26838,26838,106240,0,0,Even
26,run2,ENN,SKESA,Escherichia_coli_plasmid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,110007,110007,110007,0,0,Even
27,run2,ENN,SPAdes,Escherichia_coli_plasmid,0.48214204550619505,0.9877189633386966,1.0003865410101604,1.0,1.0003865410101604,1.0,1.0,2,4,28182,28182,108656,0,0,Even
28,run2,ENN,Unicycler,Escherichia_coli_plasmid,0.4811693801303553,0.9756742752733917,1.0,1.0,1.0,1.0,1.0,2,3,28071,28071,107331,0,0,Even
29,run2,ENN,VelvetOptimizer,Escherichia_coli_plasmid,0.3660130718954248,0.9553937476706028,1.0,1.0,1.0,1.0,1.0,3,4,26838,26838,105100,0,0,Even
30,run2,ENN,BCALM2,Escherichia_coli,0.011346290810029054,0.7906060602245252,1.0022828971692979,1.0,1.0022828971692979,1.0,1.0,0,1120,4465,3200,3767581,0,0,Even
31,run2,ENN,GATBMiniaPipeline,Escherichia_coli,0.024233679450811826,0.9683036214539956,1.001589160163636,1.0000491183260474,1.0015399661970268,0.9999683401383617,0.9940577249575552,123,213,42265,40801,4614387,0,0,Even
32,run2,ENN,IDBA-UD,Escherichia_coli,0.01877667385593841,0.9463757131039902,1.0074771208439406,0.9452392612357645,1.0658434982131497,0.9884515823265513,0.07334843532944832,216,425,21963,22794,4509891,0,9,Even
33,run2,ENN,MEGAHIT,Escherichia_coli,0.07228365768993968,0.9762500120660573,1.0013522474584906,1.0008630303946973,1.000488795218663,0.9997613867797561,0.9876447876447877,57,134,80820,88313,4652255,0,1,Even
34,run2,ENN,metaSPAdes,Escherichia_coli,0.10724563596935767,0.979364523776848,1.0001699129030315,1.0005575217312368,0.9996126071517261,0.9994922606485532,0.9892641467233281,33,85,138182,138182,4667097,0,1,Even
35,run2,ENN,MINIA,Escherichia_coli,0.011346290810029054,0.7921364559870098,1.0022962355829625,1.0000288098137327,1.0022673604469978,0.999972009310962,0.9912232583653319,0,1123,4465,3200,3774874,0,0,Even
36,run2,ENN,SKESA,Escherichia_coli,0.018775204944607354,0.9498778075617037,1.0000189988909949,0.989982873585365,1.0101376756845122,0.9969676627874391,0.3202442848889989,218,338,26708,26116,4526580,0,1,Even
37,run2,ENN,SPAdes,Escherichia_coli,0.06828045462386008,0.9637762268872048,1.000082955714277,1.0,1.000082955714277,0.9997511481032958,0.9912616056799564,57,104,93327,85988,4592812,0,0,Even
38,run2,ENN,Unicycler,Escherichia_coli,0.0727249606226841,0.9638683486121096,1.0,1.0,1.0,0.9999819456531456,0.9982978723404256,56,109,98665,96845,4593251,0,0,Even
39,run2,ENN,VelvetOptimizer,Escherichia_coli,0.011654342500599105,0.8592858488859567,1.0024186360006544,0.9991896503081836,1.0032316044221183,0.9979206725032533,0.7165193745751189,0,1113,4818,4233,4094870,6056,6,Even
40,run2,ENN,BCALM2,Lactobacillus_fermentum,0.03464433776143068,0.9178127917797047,1.0006410333388802,1.0,1.0006410333388802,1.0,1.0,207,235,11209,10234,1748739,0,0,Even
41,run2,ENN,GATBMiniaPipeline,Lactobacillus_fermentum,0.06396624632019705,0.9406450211065467,1.0007711012240534,1.0,1.0007711012240534,1.0,1.0,54,88,40366,40071,1792242,0,0,Even
42,run2,ENN,IDBA-UD,Lactobacillus_fermentum,0.06396519663491894,0.9385818646924186,1.0005714889636086,1.0,1.0005714889636086,1.0,1.0,57,88,40364,40069,1788311,0,0,Even
43,run2,ENN,MEGAHIT,Lactobacillus_fermentum,0.06400928341659962,0.9493547847016768,1.0016988816571089,1.0019703076898405,0.9997291077084335,0.9967035875081933,0.7272434866516565,40,81,44597,44597,1808837,0,2,Even
44,run2,ENN,metaSPAdes,Lactobacillus_fermentum,0.06391901048268203,0.9428735029519775,1.000415811294036,1.0000005564105732,1.0004152546524108,0.9998301691127518,0.9909245604083948,48,78,46069,45077,1796488,0,0,Even
45,run2,ENN,MINIA,Lactobacillus_fermentum,0.03464433776143068,0.9205561442540491,1.000824417349025,1.0004137492406049,1.0004104982650748,1.0,1.0,205,236,11209,10841,1753966,0,0,Even
46,run2,ENN,SKESA,Lactobacillus_fermentum,0.06386022810710779,0.9297267196862701,1.0,1.0,1.0,1.0,1.0,74,103,37086,33086,1771439,0,0,Even
47,run2,ENN,SPAdes,Lactobacillus_fermentum,0.06392006016796015,0.9405678692386056,1.0003587979431894,0.999997768781007,1.0003610299677193,0.9999503720233187,0.9964881474978051,47,77,46123,45008,1792095,0,0,Even
48,run2,ENN,Unicycler,Lactobacillus_fermentum,0.06386285232030306,0.931354256709982,1.0,1.0,1.0,1.0,1.0,52,80,44315,40168,1774540,0,0,Even
