Sample,Assembler,Reference,Contiguity,Breadth of Coverage,Multiplicity,Validity,Parsimony,Identity,lowest Identity,L90,Contigs,NA50,NG50,Basepairs,Ns,Misassemblies
ERR2984773,VelvetOptimizer,Listeria_monocytogenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ERR2984773,Unicycler,Listeria_monocytogenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ERR2984773,SPAdes,Listeria_monocytogenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ERR2984773,SKESA,Listeria_monocytogenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ERR2984773,MINIA,Listeria_monocytogenes,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2,2,0,741,18194,0,0
ERR2984773,metaSPAdes,Listeria_monocytogenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ERR2984773,MEGAHIT,Listeria_monocytogenes,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,1,0,0,35487,0,0
ERR2984773,IDBA-UD,Listeria_monocytogenes,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,2,0,0,14966,0,0
ERR2984773,GATBMiniaPipeline,Listeria_monocytogenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0,0
ERR2984773,BCALM2,Listeria_monocytogenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
