,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.982118196781404,74
1,Enterococcus_faecalis,0.0,0
2,Escherichia_coli_plasmid,0.01004481532993355,1
3,Escherichia_coli,0.0019127323975109088,10
4,Lactobacillus_fermentum,0.0,0
5,Listeria_monocytogenes,0.9878817327698505,19
6,Pseudomonas_aeruginosa,0.9859506237182234,119
7,Salmonella_enterica,0.0020421257772998812,8
8,Staphylococcus_aureus,0.0,0
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
