Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9823611721845318,18
Enterococcus_faecalis,0.9746119339619989,23
Escherichia_coli_plasmid,0.9830738043942658,2
Escherichia_coli,0.9718441174507925,83
Lactobacillus_fermentum,0.940779380822145,74
Listeria_monocytogenes,0.9866743173073131,17
Pseudomonas_aeruginosa,0.9886206942242206,52
Salmonella_enterica,0.9762485225051925,78
Staphylococcus_aureus,0.983354666431267,22
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
