Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9836519326678823,53
Enterococcus_faecalis,0.9767371244454192,51
Escherichia_coli_plasmid,0.9810466606670485,3
Escherichia_coli,0.9466703347481048,421
Lactobacillus_fermentum,0.9384522285605719,87
Listeria_monocytogenes,0.9866706412569152,23
Pseudomonas_aeruginosa,0.9859045423293626,157
Salmonella_enterica,0.9595423789420696,383
Staphylococcus_aureus,0.9798880380170518,73
Staphylococcus_aureus_plasmid1,0.19046867602966702,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
