Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9842639439579581,21
Enterococcus_faecalis,0.9894548800305898,26
Escherichia_coli_plasmid,0.9943821756797294,2
Escherichia_coli,0.9759738567358188,83
Lactobacillus_fermentum,0.9412233976947861,81
Listeria_monocytogenes,0.9763643326865713,15
Pseudomonas_aeruginosa,0.9905752517913587,60
Salmonella_enterica,0.9807693519780257,53
Staphylococcus_aureus,0.9852202090643597,16
Staphylococcus_aureus_plasmid1,0.9998421966230078,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
