Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9833409834744593,23
Enterococcus_faecalis,0.9903053779584676,23
Escherichia_coli_plasmid,1.0,2
Escherichia_coli,0.9813137691131595,82
Lactobacillus_fermentum,0.9416815853186818,80
Listeria_monocytogenes,0.9770527566701934,12
Pseudomonas_aeruginosa,0.990455116285575,58
Salmonella_enterica,0.9819788703010622,55
Staphylococcus_aureus,0.9868783057106496,26
Staphylococcus_aureus_plasmid1,0.9998421966230078,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
