,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9816483125073999,26
1,Enterococcus_faecalis,0.9876614540281269,40
2,Escherichia_coli_plasmid,0.3629496304780605,26
3,Escherichia_coli,0.9600514874405983,180
4,Lactobacillus_fermentum,0.9322181476938677,86
5,Listeria_monocytogenes,0.9730909769003677,19
6,Pseudomonas_aeruginosa,0.9825201366835828,303
7,Salmonella_enterica,0.9615466875753454,157
8,Staphylococcus_aureus,0.9791038627619741,63
9,Staphylococcus_aureus_plasmid1,0.9537636105412656,1
10,Staphylococcus_aureus_plasmid2,0.8605595667870036,1
11,Staphylococcus_aureus_plasmid3,0.9081189442031407,1
