	Staphylococcus_aureus_plasmid1	Staphylococcus_aureus_complete_genome	Listeria_monocytogenes_complete_genome	Escherichia_coli_plasmid	Escherichia_coli_complete_genome	Staphylococcus_aureus_plasmid3	Salmonella_enterica_complete_genome	Staphylococcus_aureus_plasmid2	Enterococcus_faecalis_complete_genome	Bacillus_subtilis_complete_genome	Pseudomonas_aeruginosa_complete_genome	Lactobacillus_fermentum_complete_genome
Staphylococcus_aureus_plasmid1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus_aureus_complete_genome	0.0	1.0	0.07587079498892886	0.0	0.00952228573109998	0.0	0.008574801933220048	0.0	0.05756773258593928	0.06167950330663018	0.007398906862636918	0.016215361301760347
Listeria_monocytogenes_complete_genome	0.0	0.06675674104096391	1.0	0.0	0.010312658111940412	0.0	0.01049579225903991	0.0	0.10264635526286768	0.08174934549593596	0.00643810099246677	0.022414216022099077
Escherichia_coli_plasmid	0.0	0.0	0.0	1.0	0.03457961766069432	0.0	0.026307416800749044	0.0	0.0	0.0	0.008172207223176707	0.0
Escherichia_coli_complete_genome	0.0	0.006781543926534289	0.008148470842319924	0.002283947275316372	1.0	0.0	0.5864147945391752	0.0	0.006211396485608656	0.00911837200976868	0.06797324231119348	0.0061755130802357144
Staphylococcus_aureus_plasmid3	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.2910123621784163	0.0	0.0	0.0	0.0
Salmonella_enterica_complete_genome	0.0	0.005554708171402424	0.007458801373014442	0.0009987927927246538	0.5910149407132229	0.0	1.0	0.0	0.0060791059018695534	0.007921431101575588	0.07151831211161268	0.005440206263107317
Staphylococcus_aureus_plasmid2	0.0	0.0	0.0	0.0	0.0	0.5388086642599278	0.0	1.0	0.0	0.0	0.0	0.0
Enterococcus_faecalis_complete_genome	0.0	0.05244584928895562	0.1081671699365149	0.0	0.007371919229406704	0.0	0.005598174170729376	0.0	1.0	0.042722057277169545	0.004668249576859709	0.03147861524879524
Bacillus_subtilis_complete_genome	0.0	0.047071231835858374	0.06402933303869784	0.0	0.012216743946686797	0.0	0.011741421769459104	0.0	0.0375494632913107	1.0	0.009624347173538569	0.01971289354043835
Pseudomonas_aeruginosa_complete_genome	0.0	0.0020280227845231313	0.001739609235711457	0.0002598519212111308	0.04209468621224234	0.0	0.04711402420082652	0.0	0.0016905833491600085	0.002459833370875679	1.0	0.003629240628768037
Lactobacillus_fermentum_complete_genome	0.0	0.02317757578334076	0.033279222057246684	0.0	0.009852346020354447	0.0	0.009373164690896552	0.0	0.04737597049964495	0.03269769641317292	0.013156755275849419	1.0
