	Staphylococcus_aureus_plasmid1	Staphylococcus_aureus_complete_genome	Listeria_monocytogenes_complete_genome	Escherichia_coli_plasmid	Escherichia_coli_complete_genome	Staphylococcus_aureus_plasmid3	Salmonella_enterica_complete_genome	Staphylococcus_aureus_plasmid2	Enterococcus_faecalis_complete_genome	Bacillus_subtilis_complete_genome	Pseudomonas_aeruginosa_complete_genome	Lactobacillus_fermentum_complete_genome
Staphylococcus_aureus_plasmid1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus_aureus_complete_genome	0.0	1.0	0.7204676855895198	0.0	0.7341896551724141	0.0	0.746203076923077	0.0	0.7236402857142857	0.7169672727272725	0.7629113636363638	0.7572299999999998
Listeria_monocytogenes_complete_genome	0.0	0.7215126126126126	1.0	0.0	0.7227232352941176	0.0	0.7228720588235293	0.0	0.7474236309523806	0.7175978676470587	0.7612585714285716	0.7392937837837841
Escherichia_coli_plasmid	0.0	0.0	0.0	1.0	0.8321850000000001	0.0	0.8361133333333333	0.0	0.0	0.0	0.69341	0.0
Escherichia_coli_complete_genome	0.0	0.7299008571428571	0.7190141860465116	0.9323115384615384	1.0	0.0	0.8094431414531407	0.0	0.7342921212121212	0.7214129166666666	0.7156048219178083	0.7276363636363635
Staphylococcus_aureus_plasmid3	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.8574700000000001	0.0	0.0	0.0	0.0
Salmonella_enterica_complete_genome	0.0	0.743661379310345	0.7240192500000002	0.7678140000000001	0.8090560583941598	0.0	1.0	0.0	0.7341063636363636	0.7234285714285718	0.7161741424802116	0.7388517241379309
Staphylococcus_aureus_plasmid2	0.0	0.0	0.0	0.0	0.0	0.926045	0.0	1.0	0.0	0.0	0.0	0.0
Enterococcus_faecalis_complete_genome	0.0	0.718749523809524	0.7447828152492662	0.0	0.7154479166666665	0.0	0.7326544444444446	0.0	1.0	0.7188005839416056	0.7518159999999999	0.7168663
Bacillus_subtilis_complete_genome	0.0	0.728872796208531	0.7286079020979022	0.0	0.7268594545454545	0.0	0.7271275471698112	0.0	0.7390862499999996	1.0	0.7500353488372093	0.7616990697674418
Pseudomonas_aeruginosa_complete_genome	0.0	0.7623073333333334	0.7592069230769231	0.6784100000000001	0.7128343573667708	0.0	0.7121427019498603	0.0	0.7591966666666666	0.7445294444444445	1.0	0.7075507407407408
Lactobacillus_fermentum_complete_genome	0.0	0.736465918367347	0.7284274647887327	0.0	0.7340533333333333	0.0	0.7399634999999999	0.0	0.7201140594059408	0.7260191304347828	0.7185010714285714	1.0
