	Staphylococcus_aureus_plasmid1	Staphylococcus_aureus_complete_genome	Listeria_monocytogenes_complete_genome	Escherichia_coli_plasmid	Escherichia_coli_complete_genome	Staphylococcus_aureus_plasmid3	Salmonella_enterica_complete_genome	Staphylococcus_aureus_plasmid2	Enterococcus_faecalis_complete_genome	Bacillus_subtilis_complete_genome	Pseudomonas_aeruginosa_complete_genome	Lactobacillus_fermentum_complete_genome
Staphylococcus_aureus_plasmid1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus_aureus_complete_genome	0.0	1.0	0.054662456069510514	0.0	0.006991163677369493	0.0	0.0063985435865747484	0.0	0.0416583304564127	0.044222185268927426	0.005644710123992781	0.012278758038531986
Listeria_monocytogenes_complete_genome	0.0	0.04816583063796949	1.0	0.0	0.0074531976351437015	0.0	0.007587114959276242	0.0	0.07672031155460056	0.05866315600942633	0.004901059564238122	0.016570690573524744
Escherichia_coli_plasmid	0.0	0.0	0.0	1.0	0.028776639122964905	0.0	0.021995981952663616	0.0	0.0	0.0	0.00566669021062296	0.0
Escherichia_coli_complete_genome	0.0	0.004949854724729314	0.005858866130214392	0.0021293503980152452	1.0	0.0	0.474669433486388	0.0	0.004560979501107095	0.006578111346818918	0.04864197995927764	0.0044935278812915135
Staphylococcus_aureus_plasmid3	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.24953437019712665	0.0	0.0	0.0	0.0
Salmonella_enterica_complete_genome	0.0	0.004130821940411571	0.005400315775988889	0.0007668870893530875	0.4781642183854982	0.0	1.0	0.0	0.004462710327781815	0.005730589585482685	0.051219565848166344	0.004019505777162811
Staphylococcus_aureus_plasmid2	0.0	0.0	0.0	0.0	0.0	0.49896106949458485	0.0	1.0	0.0	0.0	0.0	0.0
Enterococcus_faecalis_complete_genome	0.0	0.037695429202222915	0.08056104934286336	0.0	0.005274224254513964	0.0	0.004101527186958971	0.0	1.0	0.03070863971801619	0.003509664723876358	0.022565958442527425
Bacillus_subtilis_complete_genome	0.0	0.03430894036918212	0.04665227801805353	0.0	0.00887985584141025	0.0	0.008537511211513023	0.0	0.02775229201348747	1.0	0.00721860058963541	0.015015292672176503
Pseudomonas_aeruginosa_complete_genome	0.0	0.0015459766408090698	0.001320723375200693	0.00017628614186884325	0.030006538594659637	0.0	0.033551908494107704	0.0	0.0012834852434044479	0.0018314183730439744	1.0	0.002567871895211216
Lactobacillus_fermentum_complete_genome	0.0	0.017069494634806833	0.024241499353301475	0.0	0.007232147437394583	0.0	0.00693579975075223	0.0	0.03411610243479542	0.02373915311711232	0.009453142762221317	1.0
