,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.8672869831180294,1219
1,Enterococcus_faecalis,0.005135320546342999,7
2,Escherichia_coli_plasmid,0.0,0
3,Escherichia_coli,0.0009046395354546931,4
4,Lactobacillus_fermentum,0.0005631561517068145,1
5,Listeria_monocytogenes,0.8466301646001694,957
6,Pseudomonas_aeruginosa,0.18479961957089835,831
7,Salmonella_enterica,0.0,0
8,Staphylococcus_aureus,0.0,0
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
