,Reference,Breadth of Coverage,Contigs
0,CP009072.1,0.7401072783075123,184
1,NZ_DS362249.1,0.9594314716856144,77
2,NZ_DS362248.1,0.9874804542413783,38
3,NZ_DS362247.1,0.9702003064798599,51
4,NZ_DS362246.1,0.9222941210796932,38
5,NZ_DS362245.1,0.9094144090168012,48
6,NZ_DS362244.1,0.9348712122001813,46
7,NZ_DS362243.1,0.9070038343930495,38
8,NZ_DS362242.1,0.9774879114527393,32
9,NZ_DS362241.1,0.9847188060496782,27
10,NZ_DS362240.1,0.9837212718507539,14
11,NZ_DS362239.1,0.9943467823123984,17
12,NZ_DS362238.1,0.8604044112115786,27
13,NZ_DS362237.1,0.9449189045466632,14
14,NZ_DS362236.1,0.9212154436525961,9
15,NZ_DS362235.1,0.9223098977494735,11
16,NZ_DS362234.1,0.9842580502786105,11
17,NZ_DS362233.1,0.9911045218680504,7
18,NZ_DS362232.1,0.9941475477400742,6
19,NZ_DS362231.1,0.9122928335984142,5
20,NZ_DS362230.1,0.9188750324759678,3
21,NZ_DS362229.1,0.9670067527891956,3
22,NZ_DS362228.1,0.9519223534722745,3
23,NZ_DS362227.1,0.35551811288963775,1
24,NZ_DS362226.1,0.0,0
25,NZ_DS362225.1,0.8141919832386834,2
26,NZ_DS362224.1,0.0,0
27,NZ_DS362223.1,0.9553684253090851,11
28,NZ_DS362222.1,0.10159416373952986,1
29,NZ_DS362221.1,0.2503280839895013,2
30,NZ_DS362220.1,0.9701947117579838,39
31,NZ_DS362219.1,0.0,0
32,NZ_DS362218.1,0.0,0
33,NZ_DS362217.1,0.0,0
34,NZ_GG703878.1,0.0,0
35,NZ_GG703877.1,0.0,0
36,NZ_GG703876.1,0.0,0
37,NZ_GG703875.1,0.0,0
38,NZ_GG703874.1,0.9446526376477371,1
39,NZ_GG703873.1,0.661767707695448,2
40,NZ_GG703872.1,0.8992855179994504,1
41,NZ_GG703871.1,0.9025739716141448,4
42,NZ_GG703870.1,0.6089391491653204,3
43,NZ_GG703869.1,0.8867729374543685,4
44,NZ_GG703868.1,0.7796810395747195,3
45,NZ_GG703867.1,0.8539890547634117,6
46,NZ_GG703866.1,0.8918271654734294,9
47,NZ_GG703865.1,0.9593121559880563,4
48,NZ_GG703864.1,0.9101308860371184,16
49,NZ_GG703863.1,0.9712627918965461,5
50,NZ_GG703862.1,0.9529725025383866,13
51,NZ_GG703861.1,0.9645914199027069,16
52,NZ_GG703860.1,0.9002099806424095,19
53,NZ_GG703859.1,0.9823086590745871,13
54,NZ_GG703858.1,0.9731925007269188,16
55,NZ_GG703857.1,0.9679848853460324,28
56,NZ_GG703856.1,0.9424631525377283,14
57,NZ_GG703855.1,0.9489030513449426,41
58,NZ_GG703854.1,0.9691487245336251,33
59,NZ_GG703853.1,0.9574729317946058,71
60,NZ_GG703852.1,0.9654542287277305,107
61,NZ_ACEP01000175.1,0.5787496646096055,1
62,NZ_ACEP01000174.1,0.9565776186541816,6
63,NZ_ACEP01000173.1,1.0,1
64,NZ_ACEP01000172.1,0.9542703892174391,6
65,NZ_ACEP01000171.1,0.9456272701872032,4
66,NZ_ACEP01000170.1,0.9807073954983923,1
67,NZ_ACEP01000169.1,0.6476190476190476,1
68,NZ_ACEP01000168.1,0.9519183036664066,3
69,NZ_ACEP01000167.1,0.5617516250427643,1
70,NZ_ACEP01000166.1,0.9829592684954281,2
71,NZ_ACEP01000165.1,0.10585706609349813,2
72,NZ_ACEP01000164.1,0.3037974683544304,1
73,NZ_ACEP01000163.1,0.0,0
74,NZ_ACEP01000162.1,0.9404186795491143,6
75,NZ_ACEP01000161.1,0.0,0
76,NZ_ACEP01000160.1,0.9009482316760635,2
