,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9811937532333896,28
1,Enterococcus_faecalis,0.0,0
2,Escherichia_coli_plasmid,0.0,0
3,Escherichia_coli,0.0073277690972112924,29
4,Lactobacillus_fermentum,0.0035426878136262793,4
5,Listeria_monocytogenes,0.977525630425934,60
6,Pseudomonas_aeruginosa,0.9863057301397311,76
7,Salmonella_enterica,0.005613744935128891,24
8,Staphylococcus_aureus,0.0,0
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
