Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9837033455710874,28
Enterococcus_faecalis,0.97691355004864,44
Escherichia_coli_plasmid,0.9811557446344323,3
Escherichia_coli,0.9724321016721666,198
Lactobacillus_fermentum,0.9407095767511506,88
Listeria_monocytogenes,0.9866114902641476,20
Pseudomonas_aeruginosa,0.9877076054903104,123
Salmonella_enterica,0.9760113249740637,163
Staphylococcus_aureus,0.9823064021362523,66
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,1.0,1
Staphylococcus_aureus_plasmid3,1.0,1
