,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9799089250081012,116
1,Enterococcus_faecalis,0.006176301894431417,8
2,Escherichia_coli_plasmid,0.0,0
3,Escherichia_coli,0.0012630539002323818,4
4,Lactobacillus_fermentum,0.0008313507402643003,1
5,Listeria_monocytogenes,0.7896106126906617,1288
6,Pseudomonas_aeruginosa,0.9866671672312741,109
7,Salmonella_enterica,0.00030736934281787304,1
8,Staphylococcus_aureus,0.0,0
9,Staphylococcus_aureus_plasmid1,0.0,0
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
