task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
1	3e/ea4dad	PROCESS_REFERENCE	-	COMPLETED	0	2021-10-19 18:39:15.294	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	8.5s	1.9s	-	78.8%	0.0%	44.2 MB	309.6 MB	37.3 MB	88.5 MB
3	be/d59e13	PROCESS_READS	ENN	COMPLETED	0	2021-10-19 18:39:15.325	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	53.4s	45.8s	-	97.9%	0.0%	53 MB	334.7 MB	376.2 MB	441 B
2	df/cddd46	PROCESS_READS	EMS	COMPLETED	0	2021-10-19 18:39:15.328	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 8s	1m 3s	-	98.9%	0.0%	53.6 MB	334.7 MB	921.2 MB	431 B
4	c2/1ea506	PROCESS_READS	ERR2984773	COMPLETED	0	2021-10-19 18:39:15.333	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 13s	1m 7s	-	96.4%	0.0%	53.2 MB	334.7 MB	892.5 MB	459 B
14	b4/40345d	reformat_IDBA	ERR2984773	COMPLETED	0	2021-10-19 18:40:15.268	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	1m 54s	44s	-	237.6%	0.1%	157.3 MB	3.8 GB	1.8 GB	3.6 GB
13	a7/825d25	reformat_IDBA	EMS	COMPLETED	0	2021-10-19 18:41:15.273	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	2m 54s	43.2s	-	249.2%	0.1%	158.8 MB	3.8 GB	1.9 GB	3.2 GB
10	2d/12f4cc	BCALM2	EMS	COMPLETED	0	2021-10-19 18:39:15.266	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	3m 19s	3m 10s	-	530.0%	5.2%	6.6 GB	12.2 GB	8.5 GB	4.3 GB
43	5a/2034c9	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:42:50.345	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	25s	1.7s	-	141.4%	0.1%	91.2 MB	2.6 GB	57.3 MB	16.4 MB
15	f9/3a00bf	reformat_IDBA	ENN	COMPLETED	0	2021-10-19 18:43:20.295	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	4m 44s	27.3s	-	259.0%	0.1%	144.3 MB	3.8 GB	740.8 MB	2.7 GB
8	b1/6644ac	BCALM2	ENN	COMPLETED	0	2021-10-19 18:42:50.294	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	6m 4s	2m 20s	-	587.6%	2.0%	5.1 GB	8 GB	5.9 GB	3.4 GB
47	86/df31e1	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:45:20.377	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	14.9s	1.2s	-	126.6%	0.0%	10.6 MB	55.5 MB	34.8 MB	27.5 MB
20	b3/40d615	reformat_METAHIPMER2	ENN	COMPLETED	0	2021-10-19 18:44:50.335	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	6m 34s	48.6s	-	192.4%	0.1%	174.2 MB	3.8 GB	740.8 MB	4.8 GB
22	d4/74f070	reformat_METAHIPMER2	ERR2984773	COMPLETED	0	2021-10-19 18:44:50.340	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	6m 49s	1m	-	211.2%	0.1%	177.7 MB	3.8 GB	1.8 GB	6.1 GB
9	29/aa23c4	BCALM2	ERR2984773	COMPLETED	0	2021-10-19 18:40:45.270	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	6m 54s	5m 14s	-	469.0%	1.9%	4.8 GB	12.2 GB	16.2 GB	6.8 GB
21	88/6831ac	reformat_METAHIPMER2	EMS	COMPLETED	0	2021-10-19 18:45:20.343	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	7m 13s	57.9s	-	190.1%	0.1%	164.1 MB	3.8 GB	1.9 GB	5.6 GB
52	fd/652bb6	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:46:25.385	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	39.9s	16.9s	-	79.2%	0.1%	94.3 MB	2.6 GB	396.1 MB	1.2 KB
26	42/1abc7c	MINIA	EMS	COMPLETED	0	2021-10-19 18:46:25.358	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	10m 48s	3m 31s	-	556.6%	2.6%	6.6 GB	12.1 GB	9.1 GB	4.4 GB
28	33/6fb579	MINIA	ENN	COMPLETED	0	2021-10-19 18:47:25.358	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	10m 58s	2m 38s	-	518.7%	2.0%	5.1 GB	8.1 GB	6.5 GB	3.5 GB
56	71/871d9f	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:50:25.437	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	35s	1.3s	-	107.6%	0.0%	11.4 MB	55.5 MB	33.9 MB	27.5 MB
57	4f/468cf9	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:50:25.440	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	25s	1.3s	-	108.8%	0.0%	10.4 MB	55.5 MB	33.8 MB	27.5 MB
27	86/779325	MINIA	ERR2984773	COMPLETED	0	2021-10-19 18:46:25.343	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	13m 43s	6m 26s	-	586.3%	3.8%	4.8 GB	11.9 GB	17.3 GB	6.8 GB
62	bb/fb0c1a	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:53:00.447	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	15s	1.4s	-	139.1%	0.1%	91.4 MB	2.6 GB	46.1 MB	27.6 MB
18	d2/fe0a73	MEGAHIT	ENN	COMPLETED	0	2021-10-19 18:44:20.330	docker:cimendes/megahit-assembler:1.2.9-1	8	1d	-	32 GB	18m 49s	13m 36s	-	616.5%	0.7%	1.7 GB	2.1 GB	16.5 GB	6.9 GB
65	40/3c2f31	FILTER_ASSEMBLY	MEGAHIT	COMPLETED	0	2021-10-19 18:58:05.509	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	15s	1s	-	127.7%	0.0%	10.5 MB	55.5 MB	32.6 MB	29.4 MB
29	c0/919f1a	SKESA	EMS	COMPLETED	0	2021-10-19 18:47:25.361	docker:cimendes/skesa:2.5.0-1	8	1d	-	32 GB	20m 8s	11m 46s	-	466.2%	7.1%	17.8 GB	20.4 GB	913.5 MB	28.9 MB
