task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
1	b7/e93308	PROCESS_REFERENCE	-	COMPLETED	0	2021-10-20 15:28:30.620	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	8.6s	1.7s	-	90.1%	0.0%	46.9 MB	317.6 MB	37.3 MB	88.5 MB
15	d0/f8e15c	reformat_IDBA	LNN	COMPLETED	0	2021-10-20 15:28:30.530	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	2m 54s	2m 45s	-	253.0%	0.2%	243.3 MB	3.8 GB	3.9 GB	12.8 GB
14	76/decb7c	reformat_IDBA	LHS	COMPLETED	0	2021-10-20 15:28:30.611	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	3m 24s	3m 17s	-	187.7%	0.1%	229.4 MB	3.8 GB	5.7 GB	10.7 GB
20	fd/fa2407	reformat_METAHIPMER2	LHS	COMPLETED	0	2021-10-20 15:28:30.645	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	3m 23s	3m 15s	-	199.3%	0.1%	238.2 MB	3 GB	5.7 GB	19.8 GB
43	4c/6e6ac2	METAHIPMER2	LHS	FAILED	0	2021-10-20 15:32:00.603	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	8	1d	-	32 GB	19.9s	4s	-	73.3%	0.0%	102.1 MB	51.4 GB	17.3 MB	93.1 KB
21	ee/cb107e	reformat_METAHIPMER2	LNN	COMPLETED	0	2021-10-20 15:28:30.648	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	3m 53s	3m 46s	-	190.3%	0.1%	234 MB	3.8 GB	3.9 GB	24.1 GB
3	2a/6480ef	PROCESS_READS	LNN	COMPLETED	0	2021-10-20 15:28:30.628	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4m 9s	4m	-	100.3%	0.0%	53.6 MB	334.7 MB	2 GB	438 B
45	be/01f5ea	METAHIPMER2	LNN	FAILED	0	2021-10-20 15:32:30.611	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	8	1d	-	32 GB	15s	3.5s	-	79.7%	0.0%	105 MB	51.4 GB	17.3 MB	94.1 KB
4	f1/48af13	PROCESS_READS	ERR2935805	COMPLETED	0	2021-10-20 15:28:30.637	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4m 33s	4m 23s	-	100.6%	0.0%	53.1 MB	334.7 MB	3 GB	472 B
22	9c/33ad6a	reformat_METAHIPMER2	ERR2935805	COMPLETED	0	2021-10-20 15:28:30.652	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	5m 18s	5m 9s	-	162.0%	0.1%	240.3 MB	3.8 GB	6.1 GB	24.3 GB
2	bf/f21221	PROCESS_READS	LHS	COMPLETED	0	2021-10-20 15:28:30.631	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	5m 39s	5m 31s	-	99.6%	0.0%	53.7 MB	334.7 MB	2.8 GB	437 B
44	a3/f27fb6	METAHIPMER2	LHS	FAILED	0	2021-10-20 15:34:00.610	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	16	2d	-	64 GB	1m 55s	3.7s	-	81.2%	0.0%	219.4 MB	203.7 GB	17.3 MB	100.3 KB
16	7e/a15fb8	reformat_IDBA	ERR2935805	COMPLETED	0	2021-10-20 15:28:30.585	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	5m 44s	5m 33s	-	134.5%	0.2%	254.4 MB	3.8 GB	6.1 GB	15.1 GB
46	10/f8fd7b	METAHIPMER2	LNN	FAILED	0	2021-10-20 15:34:30.627	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	16	2d	-	64 GB	2m	3.7s	-	79.6%	0.0%	148 MB	127.4 GB	17.3 MB	101.3 KB
9	17/cc323b	BCALM2	LNN	COMPLETED	0	2021-10-20 15:28:30.574	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	7m 19s	7m 8s	-	656.0%	5.6%	7 GB	12.2 GB	18.7 GB	13.6 GB
27	cc/5db6bf	MINIA	LNN	COMPLETED	0	2021-10-20 15:28:30.670	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	7m 18s	7m 10s	-	653.4%	2.8%	7.1 GB	12.2 GB	19 GB	13.6 GB
51	4a/f7a298	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-20 15:36:00.630	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	20s	1.1s	-	112.7%	0.0%	10.4 MB	55.5 MB	24 MB	13 MB
52	54/282bc1	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-20 15:36:00.634	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	20s	854ms	-	128.8%	0.0%	10.5 MB	55.5 MB	19.8 MB	13.1 MB
54	5a/af5a9b	ASSEMBLY_MAPPING	BCALM2	COMPLETED	0	2021-10-20 15:36:30.649	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	39.8s	9.6s	-	439.4%	0.5%	661.3 MB	1.1 GB	101.6 MB	138.2 KB
55	2c/ad75c7	ASSEMBLY_MAPPING	MINIA	COMPLETED	0	2021-10-20 15:36:30.652	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	39.8s	9s	-	424.8%	0.3%	660.2 MB	1.6 GB	101.7 MB	134.7 KB
47	9d/cc0217	METAHIPMER2	ERR2935805	FAILED	0	2021-10-20 15:34:00.616	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	8	1d	-	32 GB	3m 15s	2m 56s	-	408.9%	12.6%	31.9 GB	115.2 GB	20.9 GB	161.4 KB
61	c9/3c62e8	SNP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-20 15:37:00.680	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.7s	3.8s	-	51.6%	0.1%	105.3 MB	385.7 MB	97.9 MB	2.2 KB
57	01/8d2267	SNP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-20 15:37:00.684	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.7s	2s	-	79.1%	0.0%	49.5 MB	324.6 MB	97.9 MB	1 KB
60	c3/4c8382	MISASSEMBLY	BCALM2	COMPLETED	0	2021-10-20 15:37:00.687	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.7s	2.8s	-	70.1%	0.1%	75.7 MB	357.7 MB	13.8 MB	1.4 KB
64	a8/283a09	MISASSEMBLY	MINIA	COMPLETED	0	2021-10-20 15:37:00.690	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.7s	3.1s	-	61.6%	0.1%	76.4 MB	357.4 MB	13.8 MB	2.1 KB
63	48/98f6f6	GAP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-20 15:37:00.673	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	29.8s	14.4s	-	89.8%	0.4%	549 MB	832.8 MB	97.9 MB	23.5 KB
58	27/67484a	GAP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-20 15:37:00.675	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	34.8s	14.4s	-	91.0%	0.4%	543.2 MB	827 MB	97.9 MB	24.3 KB
62	83/8be6e8	ASSEMBLY_STATS_MAPPING	MINIA	COMPLETED	0	2021-10-20 15:37:00.693	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	54.7s	38s	-	96.6%	0.4%	542.6 MB	823.3 MB	111.2 MB	225.4 KB
59	7d/5f4f27	ASSEMBLY_STATS_MAPPING	BCALM2	COMPLETED	0	2021-10-20 15:37:00.696	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	54.7s	36.5s	-	96.7%	0.1%	155.8 MB	436.5 MB	111.1 MB	231.2 KB
10	96/74d4ae	BCALM2	ERR2935805	COMPLETED	0	2021-10-20 15:28:30.607	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	11m 9s	11m 2s	-	492.1%	2.5%	6.3 GB	12.4 GB	33.4 GB	14.6 GB
8	b9/6b0b42	BCALM2	LHS	COMPLETED	0	2021-10-20 15:28:30.603	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	12m 14s	12m 7s	-	506.1%	2.9%	7.2 GB	12.3 GB	37.8 GB	16.8 GB
66	2b/e03458	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-20 15:40:00.684	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	1m 5s	37.7s	-	77.0%	0.1%	93.5 MB	2.6 GB	855.1 MB	697.7 KB
48	a1/71bd56	METAHIPMER2	LHS	FAILED	0	2021-10-20 15:41:00.672	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	24	3d	-	96 GB	7m 5s	3.8s	-	64.8%	0.0%	310.3 MB	380.8 GB	17.3 MB	107.7 KB
68	fe/160106	ASSEMBLY_MAPPING	BCALM2	COMPLETED	0	2021-10-20 15:41:00.686	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	29.9s	5s	-	187.5%	0.3%	693.1 MB	1.1 GB	89.3 MB	84.4 KB
50	75/dd5737	METAHIPMER2	LNN	FAILED	0	2021-10-20 15:41:30.686	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	24	3d	-	96 GB	7m	3.7s	-	70.0%	0.0%	351.1 MB	437.9 GB	17.3 MB	108.8 KB
70	c9/3fe351	MISASSEMBLY	BCALM2	COMPLETED	0	2021-10-20 15:41:30.698	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	24.9s	2.3s	-	92.3%	0.1%	75.9 MB	357.4 MB	13.7 MB	1.5 KB
73	98/b305d7	SNP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-20 15:41:30.704	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	24.9s	3.5s	-	51.7%	0.1%	94.9 MB	376 MB	97.3 MB	1 KB
72	d8/348871	GAP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-20 15:41:30.701	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	29.8s	5.1s	-	87.5%	0.1%	100.4 MB	381.6 MB	97.3 MB	33.4 KB
67	42/23cd5a	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-20 15:41:00.683	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	1m 10s	44.4s	-	71.6%	0.1%	93.8 MB	2.6 GB	1002.1 MB	13.9 KB
71	40/df6e1a	ASSEMBLY_STATS_MAPPING	BCALM2	COMPLETED	0	2021-10-20 15:41:30.708	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	44.8s	19s	-	99.7%	0.1%	86.7 MB	367.5 MB	98.1 MB	201.6 KB
75	d2/5dc15f	ASSEMBLY_MAPPING	BCALM2	COMPLETED	0	2021-10-20 15:42:00.695	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	19.9s	6.1s	-	148.0%	0.4%	555 MB	1.1 GB	88.6 MB	2.9 KB
77	df/c38f9d	MISASSEMBLY	BCALM2	COMPLETED	0	2021-10-20 15:42:30.709	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	24.9s	2.5s	-	87.8%	0.1%	75 MB	356.4 MB	13.7 MB	1.4 KB
79	1b/fdbd06	GAP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-20 15:42:30.712	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	24.8s	3.3s	-	55.7%	0.1%	85.2 MB	366.5 MB	96.4 MB	1.4 KB
78	a2/226d9d	SNP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-20 15:42:30.719	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	24.7s	2.1s	-	89.4%	0.0%	46.6 MB	318 MB	96.4 MB	1 KB
76	b7/7519fc	ASSEMBLY_STATS_MAPPING	BCALM2	COMPLETED	0	2021-10-20 15:42:30.715	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	39.7s	17.7s	-	92.3%	0.1%	82.1 MB	363 MB	96.4 MB	151.7 KB
28	a1/bce3d2	MINIA	ERR2935805	COMPLETED	0	2021-10-20 15:28:30.667	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	14m 53s	14m 47s	-	483.3%	2.5%	6.3 GB	12.4 GB	34.6 GB	14.6 GB
80	7f/6b1fa4	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-20 15:43:30.715	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	14.9s	988ms	-	148.2%	0.0%	10.4 MB	55.5 MB	25.1 MB	13.1 MB
81	0e/3590ee	ASSEMBLY_MAPPING	MINIA	COMPLETED	0	2021-10-20 15:44:00.713	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	39.9s	11.2s	-	454.1%	0.5%	649.4 MB	1.4 GB	101.7 MB	235.7 KB
86	1b/07c51b	SNP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-20 15:44:30.739	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	3.7s	-	53.5%	0.1%	105.7 MB	385.7 MB	99.1 MB	4.2 KB
83	ab/591e10	MISASSEMBLY	MINIA	COMPLETED	0	2021-10-20 15:44:30.748	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	2.5s	-	89.0%	0.1%	74.3 MB	356.1 MB	13.9 MB	2.5 KB
85	30/f71b53	GAP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-20 15:44:30.743	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	34.9s	13.8s	-	95.4%	0.5%	669 MB	952.5 MB	99.1 MB	42.5 KB
