Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9855507496026005,24
Enterococcus_faecalis,0.979201811209141,30
Escherichia_coli_plasmid,0.9833828756351869,3
Escherichia_coli,0.9796998552492805,132
Lactobacillus_fermentum,0.9496319016150983,81
Listeria_monocytogenes,0.9895603510561293,19
Pseudomonas_aeruginosa,0.9909570059169681,83
Salmonella_enterica,0.9807241815004414,102
Staphylococcus_aureus,0.9863729319768425,39
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,1.0,1
Staphylococcus_aureus_plasmid3,1.0,1
