Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9831039403293935,21
Enterococcus_faecalis,0.991075746329504,18
Escherichia_coli_plasmid,1.0,1
Escherichia_coli,0.9793748061561655,83
Lactobacillus_fermentum,0.9418983453286118,80
Listeria_monocytogenes,0.9770594403981898,16
Pseudomonas_aeruginosa,0.9903551505889732,58
Salmonella_enterica,0.9658874654235752,82
Staphylococcus_aureus,0.986599504189379,16
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.944043321299639,1
Staphylococcus_aureus_plasmid3,0.983962579351821,1
