Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.3674490079163512,8
Enterococcus_faecalis,0.9902368461006428,21
Escherichia_coli_plasmid,0.9756924559346224,3
Escherichia_coli,0.970732151573183,103
Lactobacillus_fermentum,0.9333334383018611,80
Listeria_monocytogenes,0.9748698511065914,17
Pseudomonas_aeruginosa,0.4525357277988555,28
Salmonella_enterica,0.9769746116704546,66
Staphylococcus_aureus,0.9824818484761547,24
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,1.0,1
Staphylococcus_aureus_plasmid3,1.0,1
