Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.7215407952735723,1468
Enterococcus_faecalis,0.40614228197731633,797
Escherichia_coli_plasmid,0.0,0
Escherichia_coli,0.5932122866458753,1511
Lactobacillus_fermentum,0.08140466784546323,123
Listeria_monocytogenes,0.4581662122845584,872
Pseudomonas_aeruginosa,0.8979808107085492,1807
Salmonella_enterica,0.6009795480683213,1546
Staphylococcus_aureus,0.33860665445530713,648
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
