Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9761310653322052,170
Enterococcus_faecalis,0.9639930104533927,218
Escherichia_coli_plasmid,0.9480942121864973,8
Escherichia_coli,0.7861179065747212,1146
Lactobacillus_fermentum,0.90972811576769,282
Listeria_monocytogenes,0.9701447895995845,185
Pseudomonas_aeruginosa,0.9553845293146829,599
Salmonella_enterica,0.79900839246464,1105
Staphylococcus_aureus,0.9549433937280692,207
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
