task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
4	c5/99dde7	PROCESS_READS	LHS	CACHED	0	2021-10-14 17:53:34.639	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4m 27s	4m	-	99.0%	0.0%	53.1 MB	334.7 MB	2.8 GB	439 B
1	7c/97dee9	PROCESS_REFERENCE	-	CACHED	0	2021-10-14 17:53:34.580	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	33.4s	1.8s	-	89.9%	0.0%	48.3 MB	323.8 MB	37.3 MB	88.5 MB
26	12/4df066	reformat_IDBA	ENN	CACHED	0	2021-10-15 11:34:12.331	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	53.7s	21s	-	300.6%	0.1%	146.6 MB	3.8 GB	740.8 MB	2.7 GB
45	e6/7bd428	METASPADES	EMS	CACHED	0	2021-10-15 11:35:12.353	docker:cimendes/spades:3.15.3-1	8	1d	-	32 GB	1h 2m 33s	1h 59s	-	436.6%	1.8%	4.6 GB	7.4 GB	15.8 GB	31.8 GB
31	19/aa4bf9	reformat_IDBA	ERR2984773	CACHED	0	2021-10-15 11:34:12.317	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	1m 9s	34.6s	-	268.3%	0.1%	164.8 MB	3.8 GB	1.8 GB	3.6 GB
53	fa/d79120	MINIA	LNN	CACHED	0	2021-10-15 11:51:17.488	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	24m 42s	7m 2s	-	599.6%	2.8%	7.1 GB	12.2 GB	19 GB	13.6 GB
33	18/0ec72b	MEGAHIT	EMS	CACHED	0	2021-10-15 11:34:12.359	docker:cimendes/megahit-assembler:1.2.9-1	8	1d	-	32 GB	16m 53s	16m 16s	-	634.2%	0.8%	2.1 GB	2.4 GB	20.6 GB	8 GB
54	69/0434fc	MINIA	ERR2935805	CACHED	0	2021-10-15 11:43:17.414	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	24m 12s	14m 32s	-	528.2%	2.5%	6.3 GB	12.4 GB	34.6 GB	14.6 GB
30	6c/6c0aec	reformat_IDBA	ERR2935805	CACHED	0	2021-10-15 11:34:12.355	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	2m 48s	2m 15s	-	274.2%	0.1%	247.4 MB	3.8 GB	6.1 GB	15.1 GB
27	82/cdfc79	reformat_IDBA	LHS	CACHED	0	2021-10-15 11:39:12.383	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	7m 33s	1m 59s	-	283.6%	0.1%	227.3 MB	3.8 GB	5.7 GB	10.7 GB
